PbPb v22: Noff	v2	stat.	sys.
6.967	0.04862	0.004403	0.001459
14.22	0.05233	0.001615	0.00157
24.3	0.05476	0.001056	0.001643
34.34	0.05762	0.0007978	0.001729
44.37	0.06139	0.0006379	0.001842
54.39	0.06476	0.0005337	0.001943
69.1	0.07128	0.0002986	0.002138
89.21	0.07666	0.000239	0.0023
109.3	0.08179	0.0001984	0.002454
134.1	0.08609	0.0001364	0.002583
166.5	0.09026	0.0001058	0.002708
201.6	0.09364	9.088e-05	0.002809
229.4	0.09594	0.0001086	0.002878
249.4	0.09672	0.0001023	0.002902
269.4	0.09802	9.647e-05	0.002941
289.4	0.09909	9.123e-05	0.002973
309.4	0.0999	8.688e-05	0.002997
334.3	0.1005	6.729e-05	0.003015

PbPb v24: Noff	v2	stat.	sys.
34.34	0.0398	0.01727		0.001194
44.37	0.05425	0.005501	0.001627
54.39	0.05399	0.004521	0.00162
69.11	0.05996	0.001912	0.001799
89.21	0.0641	0.001249	0.001923
109.3	0.06684	0.0009372	0.002005
134.1	0.07102	0.0005783	0.002131
166.5	0.07426	0.0004147	0.002228
201.6	0.07692	0.000347	0.002308
229.4	0.07842	0.0004179	0.002353
249.4	0.08031	0.0003848	0.002409
269.4	0.08057	0.000382	0.002417
289.4	0.08251	0.0003449	0.002475
309.4	0.08261	0.0003349	0.002478
334.3	0.08355	0.0002693	0.002507

PbPb v26: Noff	v2	stat.	sys.
334.3	0.0824936	0.000312938	0.00151788
309.4	0.081485	0.000292166	0.00150747
289.4	0.0809827	0.000354229	0.00159536
269.4	0.0794578	0.000363853	0.00148586
249.4	0.0787972	0.000314024	0.00145775
229.4	0.077479	0.000353557	0.00141012
201.6	0.0757445	0.000364696	0.0014543
166.5	0.0729366	0.000417906	0.00136391
134.1	0.0698946	0.000463778	0.00126509
109.3	0.0654053	0.000864454	0.00160243
89.21	0.0648273	0.00112128	0.000959444
69.11	0.0598545	0.00226108	0.00150235
54.39	0.0608202	0.00426752	0.00195233

PbPb v28: Noff	v2	stat.	sys.
334.3	0.0823274	0.000348877	0.00151482
309.4	0.0813169	0.000341287	0.00151249
289.4	0.0806392	0.000438043	0.00159666
269.4	0.0791778	0.000426776	0.00147271
249.4	0.0784221	0.00041411	0.00143513
229.4	0.0772134	0.000424405	0.00141301
201.6	0.0754982	0.000465629	0.00144202
166.5	0.0725007	0.000596075	0.00137026
134.1	0.0694578	0.000635397	0.00126413
109.3	0.0654314	0.00131237	0.00153764
89.21	0.0650386	0.00159006	0.000930052
69.11	0.0637991	0.00263308	0.00365569

PbPb v2LYZ: Noff	v2	stat.	sys.
334.3	0.08308	0.0001705	0.0001705
309.4	0.08223	0.0002184	0.0002184
289.4	0.08152	0.0002247	0.0002247
269.4	0.08003	0.0002437	0.0002437
249.4	0.07934	0.0002485	0.0002485
229.4	0.07807	0.0002743	0.0002743
201.6	0.07545	0.0002496	0.0002496
166.5	0.07185	0.0003518	0.0003518
134.1	0.06906	0.0005589	0.0005589
109.3	0.06674	0.001091	0.001091
89.21	0.06137	0.003692	0.003692
69.11	0.06138	0.007517	0.007517
54.39	0.06413	0.01418		0.01418

pPb v22: Noff	v2	stat.	sys.
6.917	0.05367	0.001655	0.002093
14.37	0.05428	0.0006222	0.002117
24.41	0.05379	0.0003994	0.002098
34.39	0.05501	0.0002977	0.002145
44.36	0.05651	0.0002436	0.002204
54.33	0.05814	0.0002135	0.002267
68.63	0.06038	0.0001381	0.002355
88.39	0.0629	0.0001397	0.002453
108.2	0.06421	0.0001624	0.002504
131.3	0.06633	4.268e-05	0.002587
162.1	0.06777	3.212e-05	0.002643
196.6	0.06887	2.831e-05	0.002686
227.5	0.06927	4.645e-05	0.00381
247.2	0.0697	8.416e-05	0.003833
267.1	0.06977	0.0001636	0.005163
287	0.06896	0.0003366	0.005103
306.8	0.06706	0.000741	0.004962
328.6	0.06621	0.00147		0.0049

pPb v24: Noff	v2	stat.	sys.
44.36	0.02965	0.005967	0.003173
54.33	0.03913	0.004262	0.004187
68.63	0.04832	0.001496	0.003093
88.39	0.04941	0.001351	0.003162
108.2	0.04822	0.001599	0.001977
131.3	0.04955	0.0003922	0.002032
162.1	0.049	0.0003065	0.002009
196.6	0.04805	0.0002939	0.00197
227.5	0.04709	0.0004568	0.002637
247.2	0.04665	0.0008684	0.002612
269.2	0.04772	0.001471	0.003579
301.2	0.04797	0.004329	0.003598

pPb v26: Noff	v2	stat.	sys.
269.2	0.0485043	0.00394967	0.00242521
247.2	0.0401346	0.00307567	0.00200673
227.5	0.0446162	0.000960621	0.00223081
196.6	0.0449504	0.000591919	0.00224752
162.1	0.0449087	0.000682792	0.00224543
131.3	0.046946	0.00114625	0.0023473
108.2	0.0486248	0.00403104	0.00243124

pPb v28: Noff	v2	stat.	sys.
196.6	0.0428217	0.00226636	0.0025693
162.1	0.0450411	0.00203067	0.00270246
131.3	0.0461862	0.00226919	0.00277117
108.2	0.0565423	0.00247825	0.00339254

pPb v2LYZ: Noff	v2	stat.	sys.
271	0.04753	0.004504	0.004504
232	0.04501	0.004173	0.004173
196.6	0.04572	0.001581	0.001581
162.1	0.04764	0.002813	0.002813
131.3	0.04918	0.004265	0.004265
